序号,公司名称,注册资金,法定代表人,成立时间,经营状态,电话,邮箱,详细地址,统一社会信用代码,纳税人识别号,注册号,组织机构代码,公司类型,所属行业,所属地区,成立时间,曾经用名,企业类型,股东,历史股东,补充电话,备注
成都坚果广告有限公司,成都坚果广告有限公司,50万人民币,刘瑞国,6094-09-67,存续,18215535177,304471127@qq.com,成都市锦江区锦华路一段8号1栋11单元10层1045号,91510104060096075C,91510104060096075C,510104000196566,60096075,有限责任公司(自然人投资或控股),商务服务业,锦江工商局,6094-09-67,,有限责任公司(自然人投资或控股),陈佩佩,,,
成都建工集团旅游有限公司青城国际酒店,成都建工集团旅游有限公司青城国际酒店,-,樊睿,6003-07-06,存续,028-88988888,info.rsctuqic@hojochina.com,四川省成都市都江堰市青城山镇豪生路33号,91510181667553009R,91510181667553009R,510181000013077,667553009,其他有限责任公司分公司,住宿业,都江堰市市场和质量监督管理局,6003-07-06,,其他有限责任公司分公司,,,,
成都建工集团总公司,成都建筑工程集团总公司,256426.6万人民币,李善继,9258-04-01,存续,028-86632952,cdjgjt@163.com,,91510100201929676Y,91510100201929676Y,510100000100842,201929676,全民所有制,建筑安装业,成都市工商行政管理局,9258-04-01,,全民所有制,成都市国有资产监督管理委员会,,,
成都建筑工程集团总公司,成都建筑工程集团总公司,256426.6万人民币,李善继,9258-04-01,存续,028-86632952,cdjgjt@163.com,,91510100201929676Y,91510100201929676Y,510100000100842,201929676,全民所有制,建筑安装业,成都市工商行政管理局,9258-04-01,,全民所有制,成都市国有资产监督管理委员会,,,
成都金冠同利系统集成有限公司,成都金冠同利系统集成有限公司,500万人民币,袁诚,6009-03-07,存续,13880705000,yuanyuan@jgtl.com,成都市一环路南二段二号新世纪电脑城A―17号,91510100730191742M,91510100730191742M,510100000064894,730191742,有限责任公司(自然人独资),计算机、通信和其他电子设备制造业,武侯区市场和质量监督管理局,6009-03-07,,有限责任公司(自然人独资),袁诚,,,
成都锦阁装饰有限公司南宁分公司,成都锦阁装饰有限公司南宁分公司,-,杨涛,6093-08-62,存续,0771-3105265,guocy@newhope.cn,南宁市安吉大道47-2号大商汇商贸物流中心A地块12号3层306铺,91450107MA5L8A2H8Y,91450107MA5L8A2H8Y,450107000228774,MA5L8A2H8,其他有限责任公司分公司,建筑装饰和其他建筑业,南宁市西乡塘区工商行政管理局明秀工商所,6093-08-62,,其他有限责任公司分公司,,,,
成都晋远商贸有限公司,成都晋远商贸有限公司,300万人民币,张勇,6098-01-02,存续,18628192205,3001056284@qq.com,中国（四川）自由贸易试验区成都高新区吉泰五路88号2栋18层2号,91510100MA61ULNX68,91510100MA61ULNX68,510109000811009,MA61ULNX6,有限责任公司(自然人独资),批发业,高新工商局,6098-01-02,,有限责任公司(自然人独资),张勇,,,
成都精诚以诺科技股份有限公司,成都精诚以诺科技股份有限公司,1000万人民币,胡治国,6096-07-60,存续,028-67516361,3401014369@qq.com,成都市新津县工业园区新材料产业功能区新材24路南侧,91510132594676082D,91510132594676082D,510132000024850,594676082,其他股份有限公司(非上市),研究和试验发展,成都市工商行政管理局,6096-07-60,,其他股份有限公司(非上市),成都胡氏联众企业管理咨询中心（有限合伙）,,,
成都九洲电子信息系统股份有限公司,成都九洲电子信息系统股份有限公司,8100万人民币,黄异嵘,6008-06-65,存续,028-85306000,cdjz@jezetek.cc,成都高新区天府大道中段765号天府软件园,91510100785414368C,91510100785414368C,510109000057444,785414368,其他股份有限公司(非上市),软件和信息技术服务业,高新工商局,6008-06-65,,其他股份有限公司(非上市),四川九洲电器集团有限责任公司,,,
成都恺亚物业服务有限公司,成都恺亚物业服务有限公司,200万人民币,万红莉,6093-08-05,存续,028-61363254,colin.lv@cres-amgroup.com,中国（四川）自由贸易试验区成都高新区剑南大道中段1566号1幢1单元15层1513号,91510100MA6CR7LB9J,91510100MA6CR7LB9J,510109001137652,MA6CR7LB9,其他有限责任公司,房地产业,高新工商局,6093-08-05,,其他有限责任公司,上海恺亚物业服务有限公司,,,
成都乐途酒店用品有限公司,成都乐途酒店用品有限公司,500万人民币,姚洪英,6096-06-03,存续,13882085139,xhs_sc@163.com,成都市金牛区营门口街道子云路208号附87号,9.15101065902113E+017,9.15101065902113E+017,510106000219940,590211325,有限责任公司(自然人投资或控股),批发业,金牛区市场和质量监督管理局,6096-06-03,,有限责任公司(自然人投资或控股),姚洪英,,,
成都利达联兴行科技有限公司,成都利达联兴行科技有限公司,400万人民币,黄慧慧,6094-08-94,存续,028-69198708,775406731@qq.com,成都市武侯区洗面桥街11号1栋7楼1号,91510107069794486X,91510107069794486X,510107000664740,69794486,有限责任公司(自然人投资或控股),专业技术服务业,武侯区市场和质量监督管理局,6094-08-94,,有限责任公司(自然人投资或控股),黄慧慧,,,
成都龙熹贸易有限公司,成都龙熹贸易有限公司,500万人民币,李晓丽,6097-01-64,存续,13908220129,66740094@qq.com,中国（四川）自由贸易试验区成都高新区天府大道中段1388号1栋10层1089号,91510100399148700X,91510100399148700X,510109000448089,399148700,有限责任公司(自然人投资或控股),零售业,高新工商局,6097-01-64,,有限责任公司(自然人投资或控股),钱军,,,
成都玛雅柏廷房地产经纪有限公司,成都玛雅柏廷房地产经纪有限公司,100万人民币,刘柏廷,6098-01-64,存续,13708228598,暂无信息,四川省成都市龙泉驿区大面街道青台山路890号1栋-1楼13号,91510112MA61UUJ05F,91510112MA61UUJ05F,510112000158007,MA61UUJ05,有限责任公司(自然人独资),房地产业,成都市龙泉驿区市场和质量监督管理局,6098-01-64,,有限责任公司(自然人独资),刘柏廷,,,
成都每经传媒有限公司,成都每经传媒有限公司,6000万人民币,雷萍,6005-90-69,存续,028-86510930,nbdnews@nbd.com.cn,,9151010067968767XU,9151010067968767XU,-,67968767X,其他有限责任公司,商务服务业,锦江工商局,6005-90-69,,其他有限责任公司,成都商报社,,,
成都觅窝文化传播有限公司,成都觅窝文化传播有限公司,100万人民币,赵曼曼,6098-03-61,存续,028-65473379,feng@ewuzhijia.com,成都市武侯区长华路19号3栋19楼1909、1910号,91510107MA61WX134X,91510107MA61WX134X,510107001147640,MA61WX134,有限责任公司（自然人投资或控股的法人独资）,商务服务业,武侯区市场和质量监督管理局,6098-03-61,,有限责任公司（自然人投资或控股的法人独资）,成都易屋之家科技有限公司,,,
成都明源云创科技有限公司,成都明源云创科技有限公司,100万人民币,程康,6093-02-61,存续,028-85258200,暂无信息,成都高新区交子大道233号1栋1单元1307-1309号,91510100MA6BX3XU1W,91510100MA6BX3XU1W,510109001232524,MA6BX3XU1,有限责任公司（自然人投资或控股的法人独资）,软件和信息技术服务业,高新工商局,6093-02-61,,有限责任公司（自然人投资或控股的法人独资）,成都明源拓展软件科技有限公司,,,
成都欧凯文化 传播有限公司,成都欧凯文化传播有限公司,500万人民币,曹江洪,6096-02-61,存续,13980570722,暂无信息,成都市武侯区洗面桥街29号1栋9楼910号,9.15101070549204E+017,9.15101070549204E+017,510107000582694,05492040-0,有限责任公司(自然人投资或控股),商务服务业,武侯区市场和质量监督管理局,6096-02-61,,有限责任公司(自然人投资或控股),曹江洪,,,
成都菩提愿物业管理有限公司,成都菩提愿物业管理有限公司,50万人民币,朱国军,6003-05-62,存续,13568833559,chuge000@163.com,,91510107665329433E,91510107665329433E,510107000129099,665329433,有限责任公司(自然人投资或控股),房地产业,武侯区市场和质量监督管理局,6003-05-62,,有限责任公司(自然人投资或控股),朱国军,,,
成都清一色家具有限公司,成都清一色家具有限公司,50万人民币,徐燕,6091-96-03,存续,15008220810,暂无信息,成都高新区盛和一路88号1栋2单元18层1808号,91510100MA61RTMY36,91510100MA61RTMY36,510109000689788,MA61RTMY3,有限责任公司(自然人独资),零售业,高新工商局,6091-96-03,,有限责任公司(自然人独资),徐燕,,,
成都燃气集团股份有限公司,成都燃气集团股份有限公司,80000万人民币,罗龙,9258-07-99,存续,028-87059930,cdgasbod@163.com,,91510100201937211U,91510100201937211U,510100400011942,201937211,股份有限公司(其他),燃气生产和供应业,成都市工商行政管理局,9258-07-99,,股份有限公司(其他),华润燃气投资（中国）有限公司,,,
成都日精洗涤有限责任公司,成都日精洗涤有限责任公司,80万人民币,付翠,6000-03-92,存续,18980626971,1292417214@qq.com,成都市成华区一环路东二段15号附9号,91510108723412439E,91510108723412439E,510108000018875,723412439,有限责任公司(自然人投资或控股),批发业,成华市场和质量监督管理局,6000-03-92,,有限责任公司(自然人投资或控股),鲁军,,,
成都锐理数据处理技术股份有限公司,成都锐理数据处理技术股份有限公司,600万人民币,罗红卫,6003-05-64,存续,028-85335800,reallyinfo@reallyinfo.com,成都高新区天府大道中段801号7层1号,91510100665327526Q,91510100665327526Q,510109000157744,665327526,股份有限公司(非上市、自然人投资或控股),软件和信息技术服务业,高新工商局,6003-05-64,,股份有限公司(非上市、自然人投资或控股),缪克良,,,
成都赛格酒店用品有限公司,成都赛格酒店用品有限公司,518万人民币,熊文时,6098-99-40,存续,18382174888,1731428062@qq.com,成都市新都区三河街道承顺街399号9栋1-3层3号,91510114MA62N0UD2C,91510114MA62N0UD2C,510125000230034,MA62N0UD2,有限责任公司(自然人投资或控股),批发业,成都市新都区市场和质量监督管理局,6098-99-40,,有限责任公司(自然人投资或控股),熊文时,,,
成都赛肯思创享生活景观设计股份有限公司,成都赛肯思创享生活景观设计股份有限公司,2000.331万人民币,黄友彬,6002-04-63,存续,028-64911115,hr@secondnature.cn,成都市锦江区东光街18号4幢1楼1号,91510104686322791U,91510104686322791U,510104000052963,686322791,股份有限公司(非上市、自然人投资或控股),公共设施管理业,成都市工商行政管理局,6002-04-63,,股份有限公司(非上市、自然人投资或控股),成都开远力创企业管理中心（有限合伙）,,,
成都三箭建筑材料及制品质量检测有限公司,成都三箭建筑材料及制品质量检测有限公司,200万人民币,尹忠,6009-99-68,存续,18116670465,942081694@qq.com,成都市锦江区工业园区三色路269号9栋2单元1楼101号,9.15101047323805E+017,9.15101047323805E+017,510104000068267,732380483,有限责任公司(自然人投资或控股),专业技术服务业,锦江工商局,6009-99-68,,有限责任公司(自然人投资或控股),尹忠,,,
成都三竞装饰工程有限公司,成都三竞装饰工程有限公司,500万人民币,陈国刚,6004-08-02,存续,028-85321270,暂无信息,成都高新区新光路10号大世界商业广场商务公寓,9151010074972297X2,9151010074972297X2,510109000081935,74972297X,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,高新工商局,6004-08-02,,有限责任公司(自然人投资或控股),邹光蓉,,,
成都上韬行房地产营销策划有限公司,成都上韬行房地产营销策划有限公司,50万人民币,徐溢枫,6098-90-92,存续,028-86021536,1127704890@qq.com,中国（四川）自由贸易试验区成都高新区府城大道西段399号6栋1单元7层10号,91510100MA62L2W70B,91510100MA62L2W70B,510109000941896,MA62L2W70,有限责任公司(自然人投资或控股),房地产业,高新工商局,6098-90-92,,有限责任公司(自然人投资或控股),杨膳铭,,,
成都上行展览展示有限公司,成都上行展览展示有限公司,100万人民币,邹玉琼,6002-08-07,存续,13981884592,582614785@qq.com,成都市武侯区武侯新城管委会武科东四路11号2栋1单元5楼,91510107689033354F,91510107689033354F,510107000165175,689033354,有限责任公司(自然人投资或控股),商务服务业,武侯区市场和质量监督管理局,6002-08-07,,有限责任公司(自然人投资或控股),邹玉琼,,,
成都尚界文化传播有限公司,成都尚界文化传播有限公司,50万人民币,梁洪焱,6090-99-98,存续,13438996112,350017275@qq.com,成都市锦江区一环路东五段108号1-2幢12楼1208号,91510104564467132G,91510104564467132G,510104000094745,564467132,有限责任公司(自然人投资或控股),商务服务业,锦江工商局,6090-99-98,,有限责任公司(自然人投资或控股),李岳峰,,,
成都深报地铁传媒有限公司,成都深报地铁传媒有限公司,1500万人民币,刘伟,6096-02-62,存续,028-69887777,hr@szmetroadcd.com,中国（四川）自由贸易试验区成都高新区吉泰五路88号3栋38层1号,9.15101000549162E+017,9.15101000549162E+017,510109000344506,54916209,有限责任公司（非自然人投资或控股的法人独资）,商务服务业,高新工商局,6096-02-62,,有限责任公司（非自然人投资或控股的法人独资）,深圳报业集团地铁传媒有限公司,,,
成都深丝路数码科技有限公司,成都深丝路数码科技有限公司,100万人民币,王秀琴,6099-90-05,存续,028-87033912,silkroadcd@silkroadcg.com,成都市武侯区人民南路4段45号1幢12楼5号,9.15101075826283E+017,9.15101075826283E+017,510107000416849,582628286,有限责任公司(自然人投资或控股),商务服务业,武侯区市场和质量监督管理局,6099-90-05,,有限责任公司(自然人投资或控股),丝路视觉科技股份有限公司,,,
成都神话远见文化传播有限公司,成都神话远见文化传播有限公司,10万人民币,任在会,6096-07-01,存续,028-85243508,471355162@qq.com,成都市高新区泰和二街333号12栋2单元5层504号,91510100592089343K,91510100592089343K,510109000244494,592089343,有限责任公司(自然人投资或控股),商务服务业,高新工商局,6096-07-01,,有限责任公司(自然人投资或控股),任在会,,,
成都胜安通信网络工程有限公司,成都胜安通信网络工程有限公司,1500万人民币,鲜军,6005-99-97,存续,15982832296,暂无信息,,91510107681810526U,91510107681810526U,510107000114587,681810526,有限责任公司(自然人独资),建筑装饰和其他建筑业,武侯区市场和质量监督管理局,6005-99-97,,有限责任公司(自然人独资),鲜军,,,
成都胜蓝贸易有限公司,成都胜蓝贸易有限公司,300万人民币,刘钊,6099-03-03,存续,18599999287,暂无信息,成都市金牛区茶店子西街36号金璐天下1幢2单元24层2425号,91510106577379000N,91510106577379000N,510106000198247,577379000,有限责任公司(自然人投资或控股),批发业,金牛区市场和质量监督管理局,6099-03-03,,有限责任公司(自然人投资或控股),李世君,,,
成都圣帝威科技有限公司,成都圣帝威科技有限公司,200万人民币,邓建华,6096-09-07,,87807758,2215103794@qq.com,,-,-,510109000235315,-,其他有限责任公司,软件和信息技术服务业,高新工商局,6096-09-07,,其他有限责任公司,冉旭宇,,,
成都圣利斯服饰有限公司,成都圣利斯服饰有限公司,10万人民币,孙玉玲,6008-90-60,存续,028-85221488,1580672539@qq.com,,9.15101077921997E+017,9.15101077921997E+017,510107000139859,792199686,有限责任公司(自然人投资或控股),批发业,武侯区市场和质量监督管理局,6008-90-60,,有限责任公司(自然人投资或控股),冯俊菊,,,
成都圣斯尔广告工作室,,,,,,,,,,,,,,,,,,,,,,
成都圣元陶瓷有限公司,成都圣元陶瓷有限公司,100万人民币,杨荷,6094-07-04,存续,15390060595,365266780@qq.com,成都市武侯区洗面桥街9号4栋3单元2楼1号,91510107064324338R,91510107064324338R,510107000639732,64324338,有限责任公司(自然人投资或控股),零售业,武侯区市场和质量监督管理局,6094-07-04,,有限责任公司(自然人投资或控股),杨荷,,,
成都圣源居房地产营销策划有限公司,成都圣源居房地产营销策划有限公司,30万人民币,杨波,6098-01-02,存续,13982183446,暂无信息,成都高新区天府四街66号1栋8层3号,91510100MA61ULT39D,91510100MA61ULT39D,510109000811986,MA61ULT39,有限责任公司(自然人投资或控股),房地产业,高新工商局,6098-01-02,,有限责任公司(自然人投资或控股),杨波,,,
成都盛山测绘有限公司,成都盛山测绘有限公司,200万人民币,杨祺,6094-02-68,存续,028-86269189,暂无信息,成都市武侯区武侯大道铁佛段1号1栋1单元10层1015号,91510107077692690C,91510107077692690C,510107000695947,77692690,有限责任公司(自然人投资或控股),商务服务业,武侯区市场和质量监督管理局,6094-02-68,,有限责任公司(自然人投资或控股),杨祺,,,
成都盛世罗兰软装国际贸易有限公司,成都盛世罗兰软装国际贸易有限公司,100万人民币,文继恩,6096-07-68,存续,13981857108,暂无信息,成都高新区府城大道西段399号8栋17层1号,9.15101005946709E+017,9.15101005946709E+017,510109000247415,594670844,有限责任公司(自然人投资或控股),批发业,高新工商局,6096-07-68,,有限责任公司(自然人投资或控股),文继恩,,,
成都盛蜀商贸有限公司,成都盛蜀商贸有限公司,5000万人民币,蒙淑君,6002-90-96,存续,028-88172164,暂无信息,,91510108696250007F,91510108696250007F,510108000068995,696250007,有限责任公司(自然人投资或控股),批发业,成华市场和质量监督管理局,6002-90-96,,有限责任公司(自然人投资或控股),蒙淑君,,,
成都盛威力机电有限公司,成都盛威力机电有限公司,1050万人民币,陈明贵,9222-08-95,存续,028-87675693,暂无信息,,9.15101077160572E+017,9.15101077160572E+017,510107000240996,716057168,有限责任公司(自然人投资或控股),批发业,武侯区市场和质量监督管理局,9222-08-95,,有限责任公司(自然人投资或控股),黄成华,,,
成都盛鑫天涯文化传播有限公司,成都盛鑫天涯文化传播有限公司,100万人民币,周琦,6098-06-09,存续,15902844603,425067636@qq.com,成都高新区世纪城南路599号天府软件园D区6栋505号,91510100MA61TFQW5K,91510100MA61TFQW5K,510109000736787,MA61TFQW5,有限责任公司(自然人投资或控股),商务服务业,高新工商局,6098-06-09,,有限责任公司(自然人投资或控股),赵华军,,,
成都狮王数字科技有限公司,成都狮王数字科技有限公司,100万人民币,苏柯,9228-09-62,存续,13550108560,954814967@qq.com,,91510106633141719F,91510106633141719F,510100000021388,633141719,有限责任公司(自然人投资或控股),专业技术服务业,金牛区市场和质量监督管理局,9228-09-62,,有限责任公司(自然人投资或控股),苏超辉,,,
成都石地广告传媒有限公司,成都石地广告传媒有限公司,50万人民币,李因学,6090-09-07,存续,18080487816,21271350@qq.com,成都市成华区站北东路131、133号,91510108698878607N,91510108698878607N,510108000074533,698878607,有限责任公司(自然人投资或控股),商务服务业,成华市场和质量监督管理局,6090-09-07,,有限责任公司(自然人投资或控股),邹晓飞,,,
成都时代风云数码图像有限公司,成都时代风云数码图像有限公司,10万人民币,李卓皓,6009-05-64,存续,028-83231090,439088205@qq.com,成都市星辉西路5号B西-8-58号,9.15101067302239E+017,9.15101067302239E+017,510106000271817,730223863,有限责任公司(自然人投资或控股),专业技术服务业,金牛区市场和质量监督管理局,6009-05-64,,有限责任公司(自然人投资或控股),阳勇,,,
成都时代联行房地产顾问有限公司,成都时代联行房地产顾问有限公司,1000万人民币,薛松,6098-01-68,存续,18081135393,暂无信息,成都市成华区双荆路2号16栋5楼513号,91510108MA61UY1W3J,91510108MA61UY1W3J,510108000547619,MA61UY1W3,有限责任公司(自然人投资或控股),房地产业,成华市场和质量监督管理局,6098-01-68,,有限责任公司(自然人投资或控股),薛松,,,
成都世纯文化传播有限公司,成都世纯文化传播有限公司,500万人民币,李迁,6097-07-04,存续,028-83310386,1525696838@qq.com,成都市青羊区蜀金路1号3栋3层308号,9.15101050965018E+017,9.15101050965018E+017,510105000383903,96501757,有限责任公司(自然人投资或控股),商务服务业,青羊区市场和质量监督管理局,6097-07-04,,有限责任公司(自然人投资或控股),李迁,,,
成都世达酒店用品有限公司,成都世达酒店用品有限公司,30万人民币,邓群仙,6006-02-62,存续,13980555842,3126502696@qq.com,成都市二十一世纪花园第四期一幢三单元一楼101号,91510105743602758L,91510105743602758L,510105000177762,743602758,有限责任公司(自然人投资或控股),零售业,青羊区市场和质量监督管理局,6006-02-62,,有限责任公司(自然人投资或控股),徐丽琼,,,
成都世纪嘉成贸易有限公司,成都市世纪嘉成贸易有限公司,50万人民币,廖晓成,6007-04-40,存续,13882085139,xhs_sc@163.com,,91510107758781963Q,91510107758781963Q,510107000159488,758781963,有限责任公司(自然人投资或控股),批发业,武侯区市场和质量监督管理局,6007-04-40,,有限责任公司(自然人投资或控股),廖晓成,,,
成都世纪隆达商贸有限公司,成都世纪隆达商贸有限公司,500万人民币,杨荷,6094-90-90,存续,18980089989,000000@163.com,成都市青羊区玉沙路123号建业大厦9-11号,91510105077658249U,91510105077658249U,510105000353400,77658249,有限责任公司(自然人投资或控股),批发业,青羊区市场和质量监督管理局,6094-90-90,,有限责任公司(自然人投资或控股),杨荷,,,
成都世纪星辰酒店用品有限公司,成都世纪星辰酒店用品有限公司,200万人民币,陈敏,6002-08-05,存续,13608070206,暂无信息,,91510100689037080W,91510100689037080W,510109000077937,689037080,有限责任公司(自然人投资或控股),批发业,高新工商局,6002-08-05,,有限责任公司(自然人投资或控股),史毅勇,,,
成都世纪星海广告有限公司,成都世纪星海广告有限公司,200万人民币,李金贤,6002-08-40,存续,18980479869,xinghai_hr@126.com,成都市武侯区科华北路9号1幢1单元1楼3号,91510107690910289Q,91510107690910289Q,510107000173521,690910289,有限责任公司(自然人独资),商务服务业,武侯区市场和质量监督管理局,6002-08-40,,有限责任公司(自然人独资),李金贤,,,
成都世佳房地产投资顾问有限公司,成都世佳房地产投资顾问有限公司,10万人民币,张强,6090-01-63,存续,13880128837,暂无信息,成都市武侯区永丰场街57号7幢7号,9.15101075564115E+017,9.15101075564115E+017,510107000255404,556411470,有限责任公司(自然人投资或控股),房地产业,武侯区市场和质量监督管理局,6090-01-63,,有限责任公司(自然人投资或控股),张强,,,
成都世家机构实业有限公司,成都世家机构实业有限公司,500万人民币,唐浪,6000-07-99,存续,028-86527979,sagaorg@vip.sina.com,,91510100720360493H,91510100720360493H,510100000075811,720360493,有限责任公司(自然人投资或控股),商务服务业,成都市工商行政管理局,6000-07-99,,有限责任公司(自然人投资或控股),郭漫舸,,,
成都世锦园林绿化工程有限公司,成都世锦园林绿化工程有限公司,100万人民币,籍文生,6007-02-66,存续,028-85249255,814625609@qq.com,四川省成都市彭州市小渔洞镇罗阳村,91510100762285532K,91510100762285532K,510100400019153,762285532,有限责任公司(中外合资),公共设施管理业,成都市工商行政管理局,6007-02-66,,有限责任公司(中外合资),四川新天投资有限公司,,,
成都市艾特房屋营销代理有限公司,成都市艾特房屋营销代理有限公司,50万人民币,潘海,6001-05-40,存续,028-85578080,690375160@qq.com,成都市金牛区金鱼街64号3幢3单元3楼1号,91510106777490598W,91510106777490598W,510106000121694,777490598,有限责任公司(自然人投资或控股),房地产业,金牛区市场和质量监督管理局,6001-05-40,,有限责任公司(自然人投资或控股),潘海,,,
成都市巴洛克建材有限公司,成都市巴洛克建材有限责任公司,100万人民币,杭波,6002-04-49,存续,028-85305529,341214642@qq.com,成都市双流区东升街道三强南路一段41号,9.15101226863232E+017,9.15101226863232E+017,510122000042634,68632316-1,有限责任公司(自然人投资或控股),零售业,成都市双流区市场和质量监督管理局,6002-04-49,,有限责任公司(自然人投资或控股),杭波,,,
成都市巴洛克建材有限责任公司,成都市巴洛克建材有限责任公司,100万人民币,杭波,6002-04-49,存续,028-85305529,341214642@qq.com,成都市双流区东升街道三强南路一段41号,9.15101226863232E+017,9.15101226863232E+017,510122000042634,68632316-1,有限责任公司(自然人投资或控股),零售业,成都市双流区市场和质量监督管理局,6002-04-49,,有限责任公司(自然人投资或控股),杭波,,,
成都市白蚁防治研究所,成都市白蚁防治研究所,,,,,暂无信息,暂无信息,,成都市城乡房产管理局,成都市如是庵街46号,-,12510100450753368R,财政补助,-,,,,财政补助,,,,
成都市宝柯酒店用品有限公司,成都市宝柯酒店用品有限公司,205万人民币,刘舰芳,6002-07-91,存续,028-84522768,暂无信息,成都市成华区建设北路三段2号龙湖三千星座01栋02单元28层2818号,91510108686336982P,91510108686336982P,510108000055477,686336982,有限责任公司(自然人投资或控股),零售业,成华市场和质量监督管理局,6002-07-91,,有限责任公司(自然人投资或控股),杨国洪,,,
成都市北商凌云建筑劳务有限公司,成都市北商凌云建筑劳务有限公司,10万人民币,林运兰,6096-02-95,存续,18982008596,18982008596@163.com,成都市新都区斑竹园镇旃檀社区1社,9151011405254662XK,9151011405254662XK,510125000135607,05254662X,有限责任公司(自然人投资或控股),商务服务业,成都市新都区市场和质量监督管理局,6096-02-95,,有限责任公司(自然人投资或控股),林运兰,,,
成都市贝丰建材有限公司,成都市贝丰建材有限公司,500万人民币,刘建林,6003-01-05,存续,028-86121220,暂无信息,,91510100660479141D,91510100660479141D,510100000210638,660479141,有限责任公司(自然人投资或控股),批发业,青羊区市场和质量监督管理局,6003-01-05,,有限责任公司(自然人投资或控股),刘建林,,,
成都市财政局,成都市财政局,,,,,暂无信息,暂无信息,,,,,,,,,,,,,,,
成都市场研究有限公司,成都市场研究有限公司,170万人民币,杨刚,9222-96-69,存续,028-86601241,暂无信息,四川省成都市青羊区商业街70号慧德商厦7楼701号,91510100720318324T,91510100720318324T,510100400019303,720318324,有限责任公司(台港澳与境内合资),商务服务业,成都市工商行政管理局,9222-96-69,,有限责任公司(台港澳与境内合资),成都天健市场策略研究有限公司,,,
成都市成华区宏源不锈钢水箱厂,成都市成华区宏源不锈钢水箱厂,-,卢国根,6004-02-68,存续,18080428065,cdhfmj@yahoo.cn,四川省成都市成华区东三环路二段龙潭工业园华冠路200号,91510108752835537D,91510108752835537D,510108000177404,752835537,个人独资企业,计算机、通信和其他电子设备制造业,成华市场和质量监督管理局,6004-02-68,,个人独资企业,卢国根,,,
成都市诚信物业管理招投标服务中心,成都市诚信物业管理招投标服务中心,,,,正常,13880676336,暂无信息,成都市人民中路１段２８号房产大厦２２楼,成都市民政局,未公开,,,成都市房管局,未公开,,,,成都市房管局,,,,
成都市城北市政工程有限公司,成都市城北市政工程有限公司,2000万人民币,周安全,6007-02-09,存续,13688337758,294153390@qq.com,,9151010820219638XU,9151010820219638XU,510108000143565,20219638X,其他有限责任公司,土木工程建筑业,成华市场和质量监督管理局,6007-02-09,,其他有限责任公司,成都市城北市政工程有限公司工会,,,
成都市城市建设档案馆,成都市城市建设档案馆,,,,,暂无信息,暂无信息,,成都市规划管理局,成都市五丁街2号,-,12510100G70884119R,财政补助全额拨款,-,,,,财政补助全额拨款,,,,
成都市创明窗饰有限公司,成都市创明窗饰有限公司,100万人民币,马敬,6005-09-66,存续,18628207625,暂无信息,,91510107669694905G,91510107669694905G,510107000347248,669694905,有限责任公司(自然人投资或控股),批发业,武侯区市场和质量监督管理局,6005-09-66,,有限责任公司(自然人投资或控股),马玉华,,,
成都市达维科技有限公司,成都市达维科技有限公司,700万人民币,周群英,6099-07-91,存续,028-84366928,39652123@qq.com,,91510108572276125K,91510108572276125K,510108000110654,572276125,有限责任公司(自然人投资或控股),软件和信息技术服务业,成华市场和质量监督管理局,6099-07-91,,有限责任公司(自然人投资或控股),周群英,,,
成都市地方税务局第三直属税务分局征收三科,,,,,,,,,,,,,,,,,,,,,,
成都市第二建筑工程公司,成都市第二建筑工程公司重庆分公司,-,邹东,6094-01-98,存续,028-65709235,official@cd2j.com,,9.15001020682612E+017,9.15001020682612E+017,500102300032820,68261258,国有经济,零售业,重庆市工商行政管理局涪陵区分局,6094-01-98,,国有经济,,,,
成都市第七建筑有限公司,成都市华南建筑工程有限公司第七分公司,-,陈杰,6004-02-68,存续,028-82749622,000000@163.com,成都市武侯区永丰乡双楠村六组附4号,9.15101077528386E+017,9.15101077528386E+017,510107000348992,752838607,其他有限责任公司分公司,房屋建筑业,武侯区市场和质量监督管理局,6004-02-68,,其他有限责任公司分公司,,,,
成都市第三建筑工程公司,成都市第三建筑工程公司,10000万人民币,胡刚,9250-99-09,存续,028-84444674,cd3j@cd3j.com,,91510100201904815D,91510100201904815D,510100000101595,201904815,全民所有制,房屋建筑业,成都市工商行政管理局,9250-99-09,,全民所有制,成都建筑工程集团总公司,,,
成都市第一建筑工程公司,成都市第一建筑工程公司劳动服务公司,,,,,暂无信息,暂无信息,,,,,,,,,,,,,,,
成都市防雷中心,成都市防雷中心,,,,,暂无信息,暂无信息,,成都市气象局,成都市大石东路1号,-,12510100G70885269U,非财政补助经费自理,-,,,,非财政补助经费自理,,,,
成都市房地产交易中心,成都市房地产交易中心,,,,,暂无信息,暂无信息,,,,,,,,,,,,,,,
成都市房屋产权登记中心,成都市房屋产权登记中心（成都市房屋产权交易服务所）,,,,,暂无信息,暂无信息,,成都市城乡房产管理局,成都市人民中路一段28号,-,12510100450753659W,非财政补助经费自理,-,,,,非财政补助经费自理,,,,
